model,variable,cles,ci_low,ci_high,U_val,p_val,n
Dynamic beliefs,Threshold,0.7953817027176101,0.7665,0.8228,213420.0,7.190521531643622e-61,518
Dynamic beliefs,Slope,0.7265432834930905,0.6952,0.7578,73375.0,1.5676608289017377e-36,518
Static beliefs,Slope,0.6242378616895992,0.5903,0.6585,100826.0,4.429685649883406e-12,518
Weighted update,Sensitivity,0.8171762496086821,0.7903,0.8419,219268.0,6.678521368227672e-70,518
Weighted update,Belief precision,0.9389469447384505,0.9247,0.951,16382.0,4.022870958794255e-132,518
Cardiac HGF,Sensitivity,0.9909959601079292,0.9828,0.9956,265908.0,8.337424514778229e-165,518
Cardiac HGF,Belief precision,0.5948368390453332,0.5544,0.6353,108715.0,1.2608508662710145e-07,518
