,participant_id,bp_intero_threshold,bp_extero_threshold,bp_intero_slope,sn_intero_threshold,sn_extero_threshold,sn_intero_slope,sn_extero_slope,wu_sensitivity,wu_mu_cardiac_prior,wu_sigma_cardiac_prior,wu_pi_cardiac_belief
348,sub-0440,-19.773,0.962,8.717,-19.8,0.944,7.521,3.728,0.256,48.504,1.665,2.528
349,sub-0442,-7.518,1.19,6.002,-7.52,1.18,3.72,4.349,0.752,50.362,3.09,0.684
350,sub-0443,0.568,2.226,13.155,0.52,2.223,11.764,5.236,0.178,57.86,1.971,5.044
351,sub-0445,-35.544,0.986,23.294,-35.664,0.991,21.648,9.261,0.26,45.462,3.568,1.753
352,sub-0446,-17.185,2.189,8.822,-17.248,2.199,8.13,3.224,0.516,32.571,3.548,0.275
353,sub-0447,-6.332,0.994,9.377,-6.349,0.916,5.078,7.354,0.472,63.224,1.934,1.711
354,sub-0448,-5.957,4.338,5.683,-5.94,4.362,2.948,4.668,0.748,52.307,2.801,0.827
355,sub-0449,-38.948,-5.213,25.04,-38.976,-5.216,24.619,6.121,0.194,38.081,5.476,0.325
356,sub-0450,-29.496,-0.628,15.129,-29.497,-0.612,13.714,5.15,0.34,51.069,3.52,0.621
357,sub-0451,-16.218,1.779,6.347,-16.288,1.777,2.92,6.193,0.531,43.157,1.565,1.201
358,sub-0452,-9.256,-1.199,5.311,-9.239,-1.191,2.343,5.769,0.177,56.234,0.708,5.822
359,sub-0453,-3.325,2.701,8.855,-3.372,2.708,6.55,5.247,0.234,66.375,1.794,5.168
360,sub-0454,-0.688,1.427,12.023,-0.689,1.387,11.552,2.318,0.625,87.244,8.899,0.14
361,sub-0455,-7.199,0.517,9.347,-7.216,0.511,8.798,2.823,0.772,44.098,6.829,0.136
362,sub-0457,-8.986,-3.641,8.665,-8.992,-3.634,6.333,5.182,0.302,54.557,1.536,3.435
363,sub-0458,-8.945,2.872,15.378,-8.912,2.858,14.042,5.408,0.398,53.803,3.898,1.198
364,sub-0459,-21.01,0.604,11.322,-21.034,0.626,9.491,5.334,0.279,46.222,1.916,2.525
365,sub-0460,42.024,38.533,24.591,42.012,38.8,18.917,17.743,0.298,131.391,5.17,1.353
366,sub-0461,-11.361,0.679,11.889,-11.303,0.684,10.966,3.814,0.163,88.242,1.253,5.058
367,sub-0462,-46.547,0.787,14.02,-46.534,0.801,13.476,3.656,0.258,39.221,3.937,0.119
368,sub-0463,-10.267,3.966,13.342,-10.196,3.955,12.832,3.617,0.467,57.339,4.508,0.301
369,sub-0464,0.906,2.203,7.826,0.907,2.205,4.257,6.352,0.983,88.328,15.812,0.581
370,sub-0466,-17.201,-4.764,12.92,-17.184,-4.752,7.388,9.891,0.319,48.494,1.497,2.989
371,sub-0467,-25.557,-4.324,16.906,-25.62,-4.308,13.542,8.083,0.207,42.804,1.552,3.806
372,sub-0469,-13.562,-1.8,7.309,-13.604,-1.842,4.847,4.939,0.395,49.476,1.624,2.125
373,sub-0470,4.144,2.317,16.941,4.168,2.292,14.827,6.932,0.85,95.629,13.725,0.373
374,sub-0471,-12.831,0.721,11.274,-12.836,0.714,7.239,7.689,0.278,61.122,1.387,4.31
375,sub-0472,-8.798,-2.678,7.477,-8.752,-2.637,4.371,5.56,0.426,42.246,1.602,2.1
376,sub-0474,11.745,2.32,7.035,11.58,2.323,3.382,6.68,0.694,113.553,2.352,0.756
377,sub-0475,-14.71,-0.423,5.885,-14.694,-0.388,3.15,4.872,0.427,46.994,1.399,1.781
378,sub-0476,-13.471,-0.905,7.788,-13.47,-1.024,3.439,8.064,0.373,57.043,1.252,3.037
379,sub-0477,-7.861,0.626,23.697,-7.907,0.64,23.229,4.753,0.586,60.014,10.392,0.181
380,sub-0478,-11.117,0.88,9.341,-11.088,0.872,5.863,6.642,0.432,52.503,1.812,2.048
381,sub-0479,-17.317,-3.552,9.765,-17.328,-3.557,7.866,4.853,0.2,54.957,1.274,4.978
382,sub-0480,-12.035,-2.598,10.209,-12.008,-2.538,6.412,7.245,0.186,60.344,0.951,6.094
383,sub-0481,-4.53,-0.142,8.327,-4.526,-0.121,7.327,3.492,0.87,59.093,9.049,0.209
384,sub-0482,-7.084,-2.789,14.455,-7.133,-2.806,14.158,3.081,0.472,45.713,5.466,0.235
385,sub-0483,-2.93,-4.105,10.405,-2.988,-4.114,6.093,7.756,0.239,73.167,1.704,4.878
386,sub-0484,-19.019,1.762,13.011,-18.991,1.785,10.521,6.657,0.19,64.716,1.47,5.04
387,sub-0485,-6.173,0.133,19.558,-6.043,0.111,19.376,2.764,0.475,46.593,7.744,0.105
388,sub-0486,1.162,0.134,4.192,1.169,0.147,2.668,2.903,0.968,91.316,14.981,0.58
389,sub-0487,-13.514,-1.416,14.786,-13.477,-1.427,13.365,5.108,0.577,37.216,5.252,0.204
390,sub-0488,-11.697,-2.758,12.444,-11.702,-2.736,11.976,2.903,0.426,52.853,3.66,0.181
391,sub-0489,-9.988,-6.051,4.2,-10.011,-6.076,2.051,5.209,0.418,44.251,1.116,2.535
392,sub-0490,-2.172,-0.114,12.415,-2.199,-0.081,8.014,8.866,0.881,77.619,13.598,0.95
393,sub-0491,-36.959,1.002,16.993,-36.934,1.019,15.258,6.302,0.345,37.166,3.585,0.558
394,sub-0492,-13.327,0.5,16.228,-13.317,0.501,16.005,2.026,0.481,44.73,5.309,0.081
395,sub-0494,-10.16,2.467,13.042,-10.15,2.474,11.814,4.985,0.515,43.071,4.582,0.62
396,sub-0495,-7.792,3.342,11.328,-7.775,3.319,9.084,5.882,0.727,45.755,5.129,0.372
397,sub-0496,-12.599,0.154,16.562,-12.627,0.159,14.322,7.347,0.483,48.11,3.922,1.204
398,sub-0497,-5.001,-3.746,6.627,-5.015,-3.751,5.714,2.76,0.802,36.677,4.92,0.273
399,sub-0498,-26.408,-0.389,7.997,-26.368,-0.371,6.74,3.781,0.401,33.854,2.883,0.405
400,sub-0499,-8.768,-3.04,8.418,-8.789,-3.03,6.277,4.8,0.774,42.017,4.235,0.322
401,sub-0500,2.215,-2.093,16.843,2.225,-2.101,16.483,2.426,0.29,73.42,4.479,0.122
402,sub-0501,-7.15,1.967,19.226,-7.226,1.96,17.074,8.239,0.888,58.84,13.688,0.186
403,sub-0503,-2.458,7.396,8.004,-2.48,7.355,4.255,6.41,0.982,75.21,15.462,0.552
404,sub-0504,1.274,2.35,12.272,1.269,2.365,11.602,3.52,0.883,89.764,16.28,0.136
405,sub-0505,-6.129,2.727,9.613,-6.105,2.713,8.867,3.12,0.786,46.243,7.622,0.144
406,sub-0507,-8.234,3.096,8.488,-8.301,3.066,8.166,2.382,0.399,59.248,3.05,0.566
407,sub-0508,-7.596,4.99,18.284,-7.478,4.988,16.779,5.899,0.746,48.621,9.85,0.178
408,sub-0510,-11.119,0.327,7.779,-11.095,0.314,5.959,4.416,0.394,56.208,1.582,1.685
