,participant_id,bp_intero_threshold,bp_extero_threshold,bp_intero_slope,sn_intero_threshold,sn_extero_threshold,sn_intero_slope,sn_extero_slope,wu_sensitivity,wu_mu_cardiac_prior,wu_sigma_cardiac_prior,wu_pi_cardiac_belief
10,sub-0034,-13.093,-4.467,20.218,-13.003,-4.485,18.908,6.238,0.721,38.857,9.564,0.063
11,sub-0035,-13.391,-7.166,11.465,-13.439,-7.139,6.509,8.775,0.491,37.831,2.035,1.296
12,sub-0037,-8.822,-2.232,15.596,-8.83,-2.174,12.974,7.128,0.157,59.683,1.082,4.821
13,sub-0038,-23.029,-1.275,12.137,-23.009,-1.168,6.84,9.605,0.264,53.455,1.2,3.744
14,sub-0039,-5.037,0.457,11.9,-5.093,0.373,8.172,7.607,0.896,59.946,11.917,0.511
15,sub-0042,-15.901,-3.78,10.366,-15.882,-3.82,6.25,7.541,0.332,49.376,1.393,2.527
16,sub-0044,-10.315,0.425,16.593,-10.357,0.431,15.744,5.365,0.585,42.598,6.448,0.163
17,sub-0045,6.808,2.504,7.616,6.775,2.539,6.864,2.733,0.794,112.799,5.858,0.248
18,sub-0046,-9.244,-5.751,12.232,-9.201,-5.862,5.93,12.266,0.169,65.337,0.886,6.765
19,sub-0047,-26.834,-3.965,26.14,-26.919,-3.994,25.955,5.624,0.327,33.48,9.533,0.023
20,sub-0049,-23.349,-0.092,7.765,-23.476,-0.14,3.816,7.479,0.338,44.844,1.224,2.541
21,sub-0050,-34.497,6.276,9.249,-34.759,6.242,4.984,10.636,0.32,55.183,1.228,2.802
22,sub-0052,6.642,-1.991,10.203,6.622,-2.015,8.906,3.943,0.873,111.954,8.721,0.172
23,sub-0056,-18.299,-0.505,8.564,-18.348,-0.553,5.113,6.32,0.494,51.707,1.899,1.511
24,sub-0057,-8.878,-0.092,10.062,-8.859,-0.14,6.026,7.302,0.207,65.585,0.898,4.734
25,sub-0058,-18.644,-1.911,14.654,-18.624,-1.901,14.0,3.506,0.398,44.55,4.022,0.293
26,sub-0059,-2.614,1.204,7.303,-2.613,1.219,6.754,2.333,0.456,64.127,5.4,1.799
27,sub-0060,-10.035,2.382,11.947,-10.031,2.381,11.234,3.115,0.544,48.655,4.493,0.225
28,sub-0061,-12.549,-1.053,8.243,-12.594,-0.954,4.78,6.332,0.582,38.303,2.139,0.725
29,sub-0063,-10.079,1.783,17.192,-10.095,1.777,16.426,4.554,0.765,37.712,9.808,0.07
30,sub-0064,-2.649,1.403,4.834,-2.683,1.413,2.57,4.041,0.974,65.751,13.556,0.587
31,sub-0065,-17.515,-2.603,11.92,-17.484,-2.637,8.029,7.799,0.422,41.512,2.056,1.412
32,sub-0066,-23.308,-0.161,11.843,-23.26,-0.163,10.708,4.422,0.264,50.88,2.291,2.195
33,sub-0067,-2.557,-2.218,19.397,-2.458,-2.253,18.232,6.624,0.842,73.694,15.543,0.223
34,sub-0068,1.84,2.847,10.503,1.847,2.857,9.256,4.153,0.908,84.046,15.179,0.332
35,sub-0070,4.017,4.46,8.132,3.991,4.45,4.88,5.895,0.797,105.541,8.403,1.138
36,sub-0071,-5.193,-0.282,9.117,-5.167,-0.299,7.363,4.519,0.885,51.881,10.265,0.254
37,sub-0072,-21.079,-3.238,9.96,-21.095,-3.244,7.219,5.966,0.273,45.939,1.385,3.214
38,sub-0073,-10.436,-2.354,6.423,-10.517,-2.403,4.613,3.865,0.244,51.463,0.985,4.624
39,sub-0074,-10.074,-0.121,23.822,-10.038,-0.09,23.201,5.081,0.438,45.548,7.624,0.116
40,sub-0076,-14.92,1.359,11.296,-14.925,1.392,8.177,6.688,0.369,38.354,2.14,1.926
41,sub-0078,13.22,2.048,6.679,13.181,2.057,3.455,5.764,0.425,90.003,1.344,2.189
42,sub-0079,-22.708,-2.801,11.923,-22.713,-2.792,7.519,7.87,0.158,40.157,0.987,5.448
43,sub-0080,-5.04,2.63,7.983,-5.016,2.639,5.857,4.753,0.305,77.572,1.668,4.092
44,sub-0081,-21.318,-17.092,10.364,-22.781,-16.299,8.192,22.159,0.302,38.437,1.377,3.239
45,sub-0082,14.378,6.567,13.019,14.395,6.529,11.876,4.466,0.483,99.619,4.11,1.006
46,sub-0083,-15.756,7.514,10.047,-15.716,7.491,4.753,10.249,0.283,52.876,1.128,3.552
47,sub-0084,-15.916,-1.251,7.21,-15.902,-1.257,6.574,2.294,0.129,71.431,0.997,6.058
48,sub-0085,-12.438,0.256,6.307,-12.205,0.161,3.782,9.364,0.324,47.734,1.165,3.676
49,sub-0086,-13.251,-0.216,10.674,-13.162,-0.21,9.292,4.595,0.101,63.333,0.801,7.377
50,sub-0087,-5.456,6.749,8.835,-5.427,6.606,4.171,8.397,0.38,69.947,2.42,3.542
51,sub-0090,-5.134,0.626,10.803,-5.201,0.661,10.066,3.42,0.807,49.969,10.439,0.198
52,sub-0092,12.526,-1.518,12.228,12.558,-1.511,11.715,3.158,0.344,92.948,3.398,1.176
53,sub-0093,-18.412,-3.133,18.859,-18.455,-3.091,17.485,5.934,0.13,37.65,1.77,4.715
54,sub-0094,-21.246,-10.767,17.036,-21.283,-10.799,12.743,9.502,0.167,32.103,1.251,4.947
55,sub-0095,1.337,4.32,6.091,1.353,4.372,3.418,4.82,0.962,87.831,15.047,0.638
56,sub-0096,-29.703,0.197,11.587,-29.733,0.231,8.848,6.333,0.332,39.805,1.857,1.479
57,sub-0097,-7.856,2.413,12.981,-7.958,2.436,10.701,6.096,0.615,50.584,4.949,0.667
58,sub-0098,-22.681,0.586,11.028,-22.605,0.571,10.588,2.909,0.464,48.524,3.779,0.221
59,sub-0099,-31.195,0.279,11.456,-31.109,0.224,7.961,7.12,0.292,38.828,1.597,2.468
60,sub-0100,-4.038,0.445,10.16,-4.022,0.427,9.789,2.512,0.875,54.566,13.226,0.12
61,sub-0101,3.752,4.541,19.254,3.807,4.547,18.489,5.516,0.714,94.098,12.707,0.375
62,sub-0102,-4.316,-3.744,7.24,-4.308,-3.762,5.524,3.885,0.636,47.446,4.414,0.925
63,sub-0103,-27.101,-8.568,15.099,-27.007,-8.567,10.994,8.715,0.244,35.946,1.765,2.714
64,sub-0104,-3.798,5.104,10.157,-3.789,5.08,8.11,5.237,0.634,57.004,6.351,0.92
65,sub-0106,-5.129,1.082,19.869,-5.119,1.092,19.324,4.007,0.867,58.54,16.592,0.064
66,sub-0107,-4.862,-0.643,6.968,-4.846,-0.557,3.403,7.188,0.177,68.915,0.804,6.108
67,sub-0108,-2.856,-0.426,9.16,-2.854,-0.421,8.941,2.006,0.896,58.082,15.582,0.134
68,sub-0109,-5.796,-1.405,6.816,-5.757,-1.397,3.956,5.068,0.138,60.351,0.682,6.68
69,sub-0112,-27.553,1.485,14.37,-27.569,1.502,9.326,9.856,0.161,53.479,0.985,5.919
70,sub-0113,8.322,5.151,7.592,8.263,5.214,3.955,7.055,0.747,116.604,2.898,0.726
71,sub-0114,-4.987,-1.803,11.745,-5.021,-1.828,8.646,6.925,0.91,58.748,11.747,0.338
72,sub-0115,-5.757,-2.407,14.761,-5.747,-2.427,13.707,4.884,0.66,45.254,9.243,0.266
73,sub-0116,-4.142,-0.621,10.085,-4.183,-0.657,8.805,4.406,0.848,53.543,12.118,0.296
74,sub-0117,3.225,1.867,10.353,3.249,1.835,9.699,3.134,0.915,102.751,14.841,0.146
75,sub-0118,-23.267,2.5,13.97,-23.262,2.478,13.2,3.945,0.335,57.568,3.398,1.101
76,sub-0119,-4.418,2.164,15.009,-4.416,2.143,13.682,5.621,0.062,73.495,0.673,9.344
77,sub-0120,-15.326,1.244,11.673,-15.28,1.22,10.164,4.897,0.286,63.145,1.936,2.994
78,sub-0122,-4.846,-0.214,9.591,-4.864,-0.172,8.873,3.121,0.889,45.513,12.966,0.145
79,sub-0124,-11.82,2.798,10.306,-11.812,2.8,8.35,5.219,0.298,63.837,1.645,3.205
80,sub-0126,5.118,2.398,14.392,5.072,2.432,13.048,4.761,0.867,111.309,13.47,0.16
81,sub-0127,-6.551,0.144,9.021,-6.553,0.143,6.445,5.448,0.713,40.661,4.402,0.545
82,sub-0128,-15.291,4.51,11.246,-15.287,4.516,7.165,7.561,0.528,49.225,2.379,1.094
83,sub-0130,-14.329,-1.095,4.641,-14.321,-1.087,2.284,4.442,0.45,52.177,1.113,1.918
84,sub-0131,7.387,4.707,11.947,7.411,4.675,8.847,6.867,0.772,112.598,5.708,0.505
85,sub-0132,-8.973,4.013,8.922,-8.894,4.023,4.505,9.369,0.698,48.077,2.595,0.728
86,sub-0133,16.589,2.433,12.763,16.525,2.445,9.873,6.639,0.096,90.319,0.729,8.37
87,sub-0134,3.38,7.169,12.132,3.158,7.205,5.759,11.977,0.89,91.632,12.83,0.862
88,sub-0135,1.257,3.588,19.868,1.299,3.635,18.576,5.961,0.89,89.415,17.49,0.129
89,sub-0136,-4.466,-2.032,20.17,-4.545,-2.026,19.518,4.303,0.49,63.186,7.829,0.282
90,sub-0137,-9.866,-0.194,11.831,-9.878,-0.242,10.416,4.696,0.737,43.173,5.829,0.22
91,sub-0138,1.332,-2.869,14.368,1.338,-2.925,7.908,11.628,0.982,86.803,16.277,0.547
92,sub-0139,-5.224,-1.548,7.886,-5.157,-1.671,3.963,6.885,0.894,57.01,9.939,0.578
93,sub-0140,-4.352,3.486,9.11,-4.321,3.46,4.166,9.204,0.964,71.51,14.024,0.602
94,sub-0141,-6.809,9.674,27.647,-6.451,9.686,26.449,13.088,0.75,87.199,20.12,0.022
95,sub-0142,-3.584,0.202,10.313,-3.552,0.194,9.421,3.501,0.435,67.687,3.918,1.106
96,sub-0143,-12.636,3.491,13.471,-12.696,3.46,12.063,4.697,0.625,45.336,5.277,0.171
97,sub-0144,-1.129,5.481,15.894,-0.948,5.535,14.325,5.432,0.914,84.716,17.136,0.194
98,sub-0145,-2.973,-1.55,11.762,-2.971,-1.566,7.844,7.634,0.976,74.115,16.577,0.508
99,sub-0146,-2.071,-0.377,7.009,-2.072,-0.368,4.659,4.573,0.196,74.851,1.283,5.73
100,sub-0147,-4.751,-5.012,23.339,-4.762,-5.045,22.995,4.218,0.85,67.811,17.29,0.049
101,sub-0148,-26.602,-2.749,11.33,-26.576,-2.703,6.007,9.541,0.278,41.597,1.164,2.86
102,sub-0149,-9.208,-3.681,13.259,-9.169,-3.713,11.536,5.479,0.427,55.961,2.757,1.048
103,sub-0150,-10.231,-1.115,9.96,-10.313,-1.127,6.974,6.008,0.226,49.484,1.085,3.729
104,sub-0151,5.693,-2.173,10.923,5.663,-2.202,9.551,4.467,0.659,105.609,6.406,0.538
105,sub-0153,-6.188,7.434,12.535,-6.194,7.462,10.308,5.948,0.88,56.688,10.666,0.255
106,sub-0154,-21.423,-0.044,9.365,-21.393,-0.05,8.014,4.008,0.08,63.31,0.594,8.811
107,sub-0156,-10.107,1.328,15.547,-10.123,1.327,14.285,5.491,0.599,48.01,6.215,0.205
108,sub-0157,-3.683,1.092,8.592,-3.727,1.026,6.138,5.142,0.932,61.318,12.88,0.438
109,sub-0159,-16.178,-3.599,9.164,-16.104,-3.619,7.262,4.691,0.336,45.722,1.851,2.258
110,sub-0160,-12.386,1.997,10.651,-12.374,2.042,8.141,5.837,0.648,46.094,3.494,0.473
111,sub-0161,-10.697,4.946,16.019,-10.591,4.906,14.126,6.013,0.696,56.629,6.975,0.236
112,sub-0162,-4.005,1.988,11.543,-4.082,1.97,5.865,10.421,0.686,71.75,9.1,2.208
113,sub-0163,-9.41,0.541,15.251,-9.387,0.559,12.468,7.332,0.219,53.574,1.466,4.661
114,sub-0164,-10.81,1.452,7.415,-10.83,1.439,4.462,5.441,0.51,53.948,1.958,1.906
115,sub-0165,-8.5,2.677,15.78,-8.495,2.612,14.024,6.498,0.474,58.105,4.33,1.386
116,sub-0166,-3.062,4.382,6.648,-2.969,4.364,3.147,7.671,0.935,70.648,14.841,0.748
117,sub-0168,3.982,4.953,9.517,4.09,4.914,4.718,8.42,0.888,96.822,11.299,0.736
118,sub-0169,-6.95,-0.845,9.017,-6.947,-0.846,7.712,3.908,0.233,54.457,1.55,4.74
119,sub-0170,-5.193,-1.885,10.456,-5.154,-1.888,10.171,2.366,0.903,57.693,13.287,0.111
120,sub-0171,-8.65,5.871,10.453,-8.67,5.852,5.934,7.97,0.646,52.588,3.144,1.068
121,sub-0172,-27.105,1.209,12.707,-27.01,1.22,10.309,6.005,0.255,52.722,1.609,2.816
122,sub-0173,-15.499,-0.406,6.848,-15.499,-0.413,3.888,5.502,0.504,47.118,1.452,1.072
123,sub-0174,-26.42,3.804,7.537,-26.465,3.808,4.426,5.627,0.37,45.492,1.394,2.09
124,sub-0175,-1.723,-2.917,15.805,-1.692,-2.966,13.733,6.746,0.26,66.153,3.17,4.972
125,sub-0176,-14.331,2.358,12.172,-14.313,2.357,10.395,5.469,0.65,46.63,4.483,0.412
126,sub-0177,-6.307,-0.886,9.08,-6.299,-0.916,5.933,6.052,0.083,74.808,0.597,9.405
127,sub-0179,-24.762,-6.552,16.687,-24.832,-6.486,13.567,8.098,0.102,55.227,0.864,7.462
128,sub-0180,-2.916,-1.189,13.338,-2.894,-1.219,12.353,4.232,0.9,61.945,15.849,0.162
129,sub-0181,-15.559,-4.631,15.083,-15.545,-4.667,11.36,8.416,0.464,48.147,2.779,1.588
130,sub-0183,-18.314,-4.386,16.708,-18.359,-4.351,15.752,4.298,0.508,40.963,5.454,0.081
131,sub-0184,12.094,0.265,18.981,12.083,0.238,12.819,13.128,0.255,80.623,1.536,4.493
132,sub-0185,-23.698,-0.866,10.832,-23.688,-0.902,6.23,8.799,0.192,57.463,0.929,5.138
133,sub-0186,-10.805,7.505,21.247,-10.781,7.58,15.405,14.084,0.458,59.994,3.617,2.74
134,sub-0187,-15.126,0.219,15.058,-15.139,0.246,12.899,6.653,0.552,46.666,4.315,0.587
135,sub-0188,-3.956,1.886,6.651,-3.94,1.935,3.204,6.83,0.816,59.725,8.904,0.931
136,sub-0189,-4.729,-2.678,9.153,-4.759,-2.722,6.104,5.984,0.779,53.395,7.394,0.714
137,sub-0190,-4.975,1.494,14.202,-5.058,1.5,13.662,3.278,0.741,53.179,10.293,0.116
138,sub-0191,1.738,1.425,16.138,1.761,1.387,14.051,6.916,0.758,85.568,12.779,1.004
139,sub-0192,-33.07,0.419,17.677,-33.021,0.39,17.026,4.243,0.427,43.041,5.397,0.065
140,sub-0193,-6.83,-1.978,6.822,-6.865,-2.002,4.478,4.55,0.3,53.428,1.081,3.18
141,sub-0194,0.955,0.843,13.68,0.974,0.884,12.028,5.416,0.971,87.503,18.299,0.273
142,sub-0197,-7.662,-3.266,8.202,-7.661,-3.287,6.988,3.564,0.811,36.344,5.788,0.203
143,sub-0198,-23.886,-3.867,7.838,-23.933,-3.824,6.94,3.068,0.454,27.177,2.981,0.27
144,sub-0200,-4.448,-3.392,5.716,-4.373,-3.343,2.691,5.647,0.836,54.673,6.387,0.719
145,sub-0202,1.987,1.478,14.545,2.025,1.481,13.774,4.384,0.384,80.127,5.599,2.103
146,sub-0203,-23.112,0.457,15.595,-23.053,0.502,13.643,6.419,0.1,57.774,0.776,7.708
147,sub-0204,7.344,2.242,9.91,7.356,2.257,6.745,6.262,0.214,76.224,0.96,4.69
148,sub-0206,4.002,-0.304,21.686,3.91,-0.31,21.324,3.149,0.904,100.982,18.351,0.053
149,sub-0207,-11.928,2.125,16.29,-11.919,2.143,15.472,4.323,0.522,51.784,5.192,0.293
150,sub-0208,-2.387,-2.619,5.303,-2.34,-2.661,2.795,4.577,0.622,61.252,6.445,2.115
151,sub-0209,0.819,2.619,10.988,0.903,2.661,8.328,6.06,0.944,87.215,16.142,0.521
152,sub-0210,-20.722,-0.173,23.882,-20.678,-0.153,23.195,6.65,0.464,41.103,7.59,0.073
153,sub-0211,8.949,4.228,19.181,8.951,4.299,16.879,7.98,0.342,90.544,3.446,2.544
154,sub-0212,-0.553,0.421,17.454,-0.573,0.418,15.963,5.721,0.865,76.085,15.949,0.327
155,sub-0213,-3.341,-3.701,7.854,-3.284,-3.668,4.122,6.599,0.496,66.243,5.674,3.873
156,sub-0216,-13.384,5.433,11.482,-13.391,5.429,9.645,5.029,0.131,49.144,1.063,6.327
157,sub-0217,-27.999,-8.998,20.011,-28.151,-9.087,13.3,14.855,0.17,43.463,1.162,5.054
158,sub-0218,-27.884,-2.41,8.381,-27.875,-2.42,6.755,4.077,0.279,41.581,1.083,2.352
159,sub-0219,-12.146,-3.681,9.407,-12.121,-3.673,5.498,7.075,0.291,60.286,1.19,3.742
160,sub-0220,-16.206,11.812,20.105,-16.154,11.931,15.567,11.635,0.588,41.519,4.163,0.585
161,sub-0222,-5.468,-0.98,8.612,-5.501,-0.964,7.122,4.036,0.52,51.757,3.322,1.232
162,sub-0223,-8.779,-6.005,10.87,-8.805,-5.99,8.595,5.604,0.741,37.386,5.422,0.283
163,sub-0224,-2.641,3.545,8.31,-2.611,3.536,7.721,2.617,0.942,59.44,15.75,0.187
164,sub-0225,-12.529,0.083,9.562,-12.526,0.079,7.601,4.954,0.277,45.993,1.479,3.247
165,sub-0226,-1.905,2.475,14.736,-1.933,2.459,14.514,2.982,0.203,57.718,3.498,1.237
166,sub-0228,6.339,-0.139,15.031,6.369,-0.124,7.922,13.339,0.63,83.081,6.162,2.102
167,sub-0229,-12.524,-0.791,9.638,-12.546,-0.777,4.73,8.633,0.268,53.011,1.052,4.316
168,sub-0230,-15.697,1.268,6.511,-15.676,1.259,3.586,5.129,0.589,44.133,1.844,0.736
169,sub-0231,12.832,-0.498,13.803,12.821,-0.511,12.505,4.697,0.721,109.703,6.519,0.117
170,sub-0232,5.264,2.296,11.79,5.347,2.271,8.475,7.182,0.904,104.548,11.492,0.401
171,sub-0233,-14.735,2.621,11.352,-14.772,2.593,10.402,3.74,0.468,58.161,3.525,0.428
172,sub-0234,9.152,8.612,13.429,9.137,8.578,9.936,7.219,0.177,95.604,1.001,5.337
173,sub-0235,-12.106,-2.704,8.06,-12.106,-2.687,6.388,4.047,0.402,44.382,1.796,1.464
174,sub-0236,-20.594,-9.382,16.444,-20.534,-9.453,13.615,7.689,0.13,41.008,1.039,6.032
175,sub-0237,-1.152,1.584,12.07,-1.129,1.605,11.575,2.788,0.957,70.932,18.942,0.122
176,sub-0238,8.794,-0.927,22.775,8.72,-0.978,20.466,9.704,0.631,98.897,8.435,0.869
177,sub-0240,-2.549,-1.175,6.596,-2.57,-1.148,4.759,3.971,0.818,62.688,11.821,1.167
178,sub-0241,-2.957,-0.125,8.505,-2.994,-0.127,7.491,3.468,0.097,60.715,0.72,8.128
179,sub-0243,-14.202,2.085,16.166,-14.178,2.053,12.767,7.97,0.692,45.117,4.985,0.286
180,sub-0244,10.299,3.374,14.467,10.354,3.362,13.983,2.68,0.175,87.43,2.463,1.535
181,sub-0245,-15.227,-3.098,13.439,-15.213,-3.03,12.008,4.96,0.283,49.71,2.709,2.174
182,sub-0246,3.59,1.007,6.945,3.561,0.99,4.91,4.25,0.231,81.689,0.98,4.502
183,sub-0247,-8.52,-3.508,9.742,-8.489,-3.449,6.686,6.227,0.381,53.828,1.72,2.452
184,sub-0248,5.247,0.924,12.574,5.268,0.935,9.954,6.511,0.681,104.067,7.502,1.158
185,sub-0249,-5.724,0.422,6.298,-5.737,0.487,3.1,7.861,0.252,61.634,1.023,5.12
186,sub-0250,-11.359,-1.546,13.407,-11.374,-1.58,12.013,5.337,0.46,49.028,3.878,1.167
187,sub-0251,-0.272,0.583,10.009,-0.322,0.565,6.384,6.981,0.945,80.482,15.746,0.685
188,sub-0252,2.741,3.266,7.842,2.735,3.303,4.357,6.555,0.941,97.552,13.065,0.627
189,sub-0253,4.699,-0.616,9.388,4.724,-0.639,6.073,6.473,0.927,105.826,10.387,0.411
190,sub-0254,0.218,-0.062,8.579,0.177,-0.03,6.155,5.178,0.962,81.787,16.093,0.475
191,sub-0255,-11.392,1.913,11.745,-11.394,1.902,10.263,4.902,0.371,60.176,2.519,1.302
192,sub-0263,-10.227,-0.562,7.671,-10.192,-0.532,6.11,4.058,0.49,47.946,2.586,1.077
193,sub-0264,-3.417,-0.985,8.197,-3.45,-0.986,5.75,5.112,0.914,59.35,12.821,0.538
194,sub-0265,4.123,-1.494,4.808,4.108,-1.504,4.399,1.642,0.866,118.139,5.859,0.267
195,sub-0266,-9.449,2.137,9.171,-9.396,2.148,8.993,1.245,0.338,32.758,3.043,0.179
196,sub-0267,-4.111,-6.186,16.838,-4.103,-6.147,13.951,8.231,0.658,65.598,8.577,1.032
197,sub-0268,0.588,0.216,13.547,0.608,0.226,13.281,1.606,0.787,78.669,14.889,0.107
198,sub-0269,1.472,0.885,6.291,1.484,0.881,5.817,2.042,0.67,83.428,9.855,0.765
199,sub-0270,-17.367,-2.821,10.568,-17.351,-2.833,10.189,2.448,0.189,44.397,2.15,1.296
200,sub-0271,17.642,0.206,10.904,17.658,0.215,9.173,4.914,0.414,111.001,2.457,1.755
201,sub-0272,-14.187,-6.893,8.352,-14.196,-6.896,7.707,2.87,0.144,33.536,1.229,4.29
202,sub-0273,-16.58,-1.801,6.193,-16.599,-1.805,5.432,2.507,0.586,40.846,3.036,0.308
203,sub-0274,13.407,1.987,12.489,13.448,2.018,11.925,3.685,0.671,106.297,5.932,0.122
204,sub-0276,-3.879,-2.543,6.436,-3.925,-2.556,6.196,1.548,0.418,60.317,3.187,0.344
205,sub-0277,-19.166,9.954,17.438,-19.189,10.005,14.865,7.854,0.255,54.343,1.961,3.243
206,sub-0278,3.387,2.193,14.674,3.388,2.137,13.326,5.053,0.918,95.326,16.254,0.22
207,sub-0279,-7.848,2.531,8.792,-7.87,2.53,8.113,2.298,0.417,52.454,2.64,0.546
208,sub-0280,33.253,5.366,19.34,33.322,5.364,18.408,5.416,0.418,120.549,5.355,0.088
209,sub-0281,10.746,2.032,12.316,10.76,2.004,11.797,3.058,0.713,113.613,6.659,0.153
210,sub-0282,-8.923,-1.092,10.037,-8.944,-1.088,9.825,1.958,0.298,55.569,3.03,0.481
211,sub-0283,-14.249,0.904,8.3,-14.249,0.916,8.237,1.481,0.545,41.707,3.995,0.147
212,sub-0284,36.265,-5.606,26.564,36.616,-5.689,24.066,15.671,0.409,118.72,14.019,0.097
213,sub-0285,4.367,-2.672,4.558,4.364,-2.673,4.381,1.163,0.581,82.245,2.699,0.364
214,sub-0287,5.918,-1.431,4.068,5.915,-1.436,2.454,2.871,0.641,88.542,1.765,0.837
215,sub-0288,-2.686,-3.42,7.967,-2.647,-3.422,7.149,2.933,0.74,57.506,8.728,0.391
216,sub-0289,-7.566,1.293,15.251,-7.52,1.298,14.254,4.774,0.583,50.414,7.117,0.336
217,sub-0290,-11.489,-0.975,5.041,-11.51,-0.974,4.776,1.337,0.118,45.118,0.671,6.216
218,sub-0291,-15.271,-1.143,6.622,-15.254,-1.156,5.561,3.1,0.278,39.475,1.571,2.192
219,sub-0292,-22.762,4.121,8.026,-22.786,4.11,7.53,2.423,0.18,43.087,1.941,2.197
220,sub-0293,2.341,4.622,4.175,2.323,4.609,2.963,2.529,0.401,80.016,1.864,2.032
221,sub-0294,1.219,0.097,14.932,1.181,0.107,15.097,1.259,0.945,89.884,19.056,0.094
222,sub-0295,-31.871,0.049,8.437,-31.878,0.01,7.334,3.489,0.24,44.292,1.727,2.086
223,sub-0296,-7.349,-2.337,9.351,-7.37,-2.341,8.322,3.716,0.633,43.529,4.513,0.35
224,sub-0297,-8.537,2.445,10.846,-8.569,2.425,10.085,3.353,0.315,69.407,2.536,1.857
225,sub-0298,-5.323,-0.508,16.435,-5.291,-0.479,15.111,5.825,0.615,46.385,8.001,0.458
226,sub-0299,-47.996,-21.112,12.005,-48.19,-20.908,5.824,10.927,0.136,36.843,1.041,5.133
227,sub-0300,-16.094,4.964,14.509,-16.055,4.974,13.771,3.701,0.628,42.246,5.821,0.09
228,sub-0301,-6.634,-0.476,13.864,-6.57,-0.449,12.389,5.168,0.777,45.049,8.912,0.307
229,sub-0303,-34.016,-11.115,10.228,-33.998,-11.067,6.142,7.587,0.167,45.727,0.873,5.546
230,sub-0304,-14.921,1.256,24.114,-14.894,1.147,23.309,6.548,0.103,53.97,1.698,5.884
231,sub-0305,42.656,-42.765,25.771,42.662,-42.818,16.79,26.265,0.276,130.306,3.908,2.247
232,sub-0306,-33.621,1.709,18.952,-33.583,1.716,18.819,3.158,0.324,46.793,4.554,0.089
233,sub-0307,-20.464,-6.742,8.728,-20.43,-6.701,4.9,6.712,0.21,40.831,1.021,4.672
234,sub-0309,3.768,3.035,8.868,3.805,3.055,6.525,5.302,0.894,101.076,11.473,0.475
235,sub-0310,-5.268,-1.741,8.909,-5.278,-1.708,8.012,3.455,0.309,55.234,2.229,2.214
236,sub-0311,26.161,-3.284,20.111,26.162,-3.307,15.794,11.443,0.355,116.053,2.612,2.277
237,sub-0312,-16.381,-3.351,19.94,-16.367,-3.368,18.921,5.93,0.523,36.28,6.71,0.096
238,sub-0313,-19.545,-5.247,21.61,-19.651,-5.286,18.714,10.074,0.186,47.302,1.942,4.341
239,sub-0314,-9.693,0.828,11.45,-9.74,0.856,10.794,3.294,0.604,46.945,5.279,0.157
240,sub-0315,-5.314,-0.912,14.201,-5.296,-0.924,12.029,6.56,0.896,58.874,13.355,0.224
241,sub-0317,-5.984,-0.371,5.253,-5.966,-0.372,4.006,2.911,0.69,53.235,2.433,0.542
242,sub-0318,-17.854,-2.216,7.408,-17.865,-2.201,4.062,6.053,0.41,51.566,1.46,2.108
243,sub-0319,-9.734,-30.028,10.623,-9.227,-31.66,9.421,24.462,0.89,68.543,13.851,0.874
244,sub-0320,-12.015,2.954,7.076,-11.957,1.884,3.233,6.981,0.357,63.669,1.275,3.45
245,sub-0321,-1.95,-3.561,20.78,-1.781,-3.58,19.923,5.308,0.89,66.752,18.013,0.098
246,sub-0323,-15.155,-0.707,13.875,-15.203,-0.652,10.396,7.954,0.489,39.991,3.144,0.965
247,sub-0324,-9.958,2.957,8.232,-9.989,3.001,4.071,7.213,0.514,51.018,1.658,1.488
248,sub-0327,-16.131,0.188,14.257,-16.01,0.278,10.939,7.702,0.419,44.018,2.391,1.625
249,sub-0328,-17.678,3.327,9.509,-17.659,3.333,5.202,7.71,0.161,65.171,0.846,6.406
250,sub-0329,-28.174,-1.194,10.636,-28.188,-1.219,7.924,5.818,0.158,36.392,0.943,4.93
251,sub-0331,-3.076,-0.006,6.42,-3.094,-0.031,3.347,5.391,0.698,62.682,7.644,2.242
252,sub-0332,-8.779,-1.863,5.823,-8.788,-1.875,4.043,3.542,0.66,38.683,2.328,0.551
253,sub-0333,-2.818,-2.364,3.345,-2.816,-2.371,2.124,2.302,0.662,37.784,1.578,0.923
254,sub-0334,-14.894,-1.42,7.69,-14.895,-1.388,4.525,5.766,0.359,38.646,1.445,2.547
255,sub-0335,-12.092,-1.318,7.267,-12.061,-1.399,3.786,6.026,0.306,53.819,1.052,3.364
256,sub-0337,-15.697,-5.535,9.245,-15.691,-5.525,5.353,12.534,0.407,44.172,1.401,2.047
257,sub-0339,-17.367,-0.593,13.929,-17.433,-0.578,12.219,5.891,0.489,40.127,3.847,0.474
258,sub-0340,-22.318,-2.381,11.356,-22.306,-2.379,8.514,6.353,0.248,43.976,1.369,3.371
259,sub-0341,-3.029,2.401,9.579,-3.074,2.401,8.615,3.519,0.86,66.691,12.517,0.249
260,sub-0342,-10.288,-1.631,16.084,-10.269,-1.614,15.346,4.645,0.246,55.166,2.979,1.74
261,sub-0343,-25.446,-0.983,16.645,-25.464,-1.044,15.092,6.04,0.239,46.012,2.668,1.958
262,sub-0344,-6.192,4.369,6.822,-6.205,4.344,5.55,3.408,0.822,45.69,5.089,0.284
263,sub-0345,-3.52,1.873,9.368,-3.586,1.895,8.595,3.121,0.958,56.97,17.149,0.135
