rank,elpd_diff,dse,p_worse,diag_diff,diag_elpd,p,elpd,se,weight
0,0.0,0.0,,,448 k̂ > 0.70,907.4434766087429,-11234.932594967227,94.13780167763942,0.7201689006853506
1,-424.97695280367475,40.246498204620195,1.0,,660 k̂ > 0.70,1069.4591040334492,-11659.909547770902,96.27445395348127,0.16398642613237793
2,-827.86284424215,52.729026600884865,1.0,,1319 k̂ > 0.70,1289.2215921959128,-12062.795439209376,109.37712221432682,0.11584467318227147
3,-1527.718325309991,60.99960420833955,1.0,,177 k̂ > 0.70,915.5219934543013,-12762.650920277218,95.85865907854236,0.0
